course_title,course_organization,course_certificate_type,course_time,course_rating,course_reviews_num,course_difficulty,course_url,course_students_enrolled,course_skills,course_summary,course_description
AI For Everyone （すべての人のためのAIリテラシー講座）,DeepLearning.AI,Course,1 - 3 Months,4.8,244,Beginner,https://www.coursera.org/learn/ai-for-everyone-ja,"27,718",[],[],"AIはエンジニアだけのものではなく、今や社会⼈の基本リテラシーと⾔えます。本
コースは、AIの基礎を学びたい⽅、今の組織をAIを使いこなせる組織へと変⾰させ
たい⽅、そんなすべての⽅々に、理系⽂系問わず、肩書きや職種問わず、受講いた
だけるコースです。

本コースでは、次のことを学習していただきます：
- ニューラルネットワーク、機械学習、ディープラーニング、データサイエンス
など、⼀般的なAIに関する専⾨⽤語とその意味
- 実際にAIができること、できないこと
- 組織の課題解決のためにAIを適⽤できる可能性とその⽅法
- 機械学習およびデータサイエンスプロジェクトの進め⽅
- AIエンジニアチームと連携して社内でAI戦略を構築する⽅法
- AIを取り巻く倫理的および社会的議論の概要

本コースはDeepLearning.AIが提供している通常の「AI for Everyone」（オリジナルは英語）に、JDLAが制作し、松尾先生が講師を務める”DXとは何か”、”DXにおけるAIの重要性”、“日本におけるAI活用”を追加 した 特別版 となります。

本コースの修了証を提示すると、JDLAのG検定が30％引きになります。詳細はこちらをご覧ください。
https://www.jdla.org/certificate/general/apply-everyone-discount/
"
AI Foundations for Everyone,IBM,Specialization,3 - 6 Months,4.7,14k,Beginner,https://www.coursera.org/specializations/ai-foundations-for-everyone,"20,717","['Data Science', 'Deep Learning', 'Artificial Intelligence (AI)', 'Machine Learning', 'Watson (Computer)']",[],"Artificial Intelligence (AI) is no longer science fiction. It is rapidly permeating all industries and having a profound impact on virtually every aspect of our existence. Whether you are an executive, a leader, an industry professional, a researcher, or a student - understanding AI, its impact and transformative potential for your organization and our society is of paramount importance. 
 This specialization is designed for those with little or no background in AI, whether you have technology background or not, and does not require any programming skills. It is designed to give you a firm understanding of what is AI, its applications and use cases across various industries. You will become acquainted with terms like Machine Learning, Deep Learning and Neural Networks. 
Furthermore, it will familiarize you with IBM Watson AI services that enable any business to quickly and easily employ pre-built AI smarts to their products and solutions. You will also learn about creating intelligent virtual assistants and how they can be leveraged in different scenarios.
 By the end of this specialization, learners will have had hands-on interactions with several AI environments and applications, and have built and deployed an AI enabled chatbot on a website – without any coding. 
Applied Learning Project
Learners will perform several no-code hands-on exercises in each of the  three courses. At the end of the last course, learners would have developed,  tested, and deployed a Watson AI powered customer service chatbot on a website to delight their clients.
"
AI Foundations: Prompt Engineering with ChatGPT,Arizona State University,Course,1 - 3 Months,3.8,6,Beginner,https://www.coursera.org/learn/ai-foundations-prompt-engineering-with-chatgpt,,[],[],"This prompt engineering course is a unique opportunity to delve into the world of ChatGPT and Large Language Models (LLMs). Designed by Andrew Maynard, an expert in transformative technologies, this course equips students with the skills needed to harness the power of ChatGPT effectively.
Through a compact and engaging curriculum, students will learn to evaluate prompts and create impactful ones, maximizing the potential of ChatGPT. The course covers prompt templates, creative prompt structures, and the art of designing prompts for various tasks and applications.

Open to learners from all backgrounds, this course does not require traditional engineering skills. Instead, it focuses on the clear and creative use of language, making it particularly appealing to those studying English, languages, humanities, and social sciences.
"
AI Fundamentals for Non-Data Scientists,University of Pennsylvania,Course,1 - 4 Weeks,4.7,203,Mixed,https://www.coursera.org/learn/wharton-ai-fundamentals-non-data-scientists,"14,963",[],[],"In this course, you will go in-depth to discover how Machine Learning is used to handle and interpret Big Data. You will get a detailed look at the various ways and methods to create algorithms to incorporate into your business with such tools as Teachable Machine and TensorFlow. You will also learn different ML methods, Deep Learning, as well as the limitations but also how to drive accuracy and use the best training data for your algorithms. You will then explore GANs and VAEs, using your newfound knowledge to engage with AutoML to help you start building algorithms that work to suit your needs. You will also see exclusive interviews with industry leaders, who manage Big Data for companies such as McDonald's and Visa. By the end of this course, you will have learned different ways to code, including how to use no-code tools, understand Deep Learning, how to measure and review errors in your algorithms, and how to use Big Data to not only maintain customer privacy but also how to use this data to develop different strategies that will drive your business.
"
AI Product Management,Duke University,Specialization,3 - 6 Months,4.7,342,Beginner,https://www.coursera.org/specializations/ai-product-management-duke,"19,086","['Data Science', 'Predictive Modelling', 'Artificial Neural Network', 'Ethics', 'Artificial Intelligence (AI)', 'Machine Learning', 'Product Management', 'product design', 'User Experience (UX)', 'Modeling', 'Privacy', 'Project Management']","['Identify when and how machine learning can applied to solve problems', 'Apply human-centered design practices to design AI product experiences that protect privacy and meet ethical standards', 'Lead machine learning projects using the data science process and best practices from industry']","Organizations in every industry are accelerating their use of artificial intelligence and machine learning to create innovative new products and systems.  This requires professionals across a range of functions, not just strictly within the data science and data engineering teams, to understand when and how AI can be applied, to speak the language of data and analytics, and to be capable of working in cross-functional teams on machine learning projects.
This Specialization provides a foundational understanding of how machine learning works and when and how it can be applied to solve problems.  Learners will build skills in applying the data science process and industry best practices to lead machine learning projects, and develop competency in designing human-centered AI products which ensure privacy and ethical standards. The courses in this Specialization focus on the intuition behind these technologies, with no programming required, and merge theory with practical information including best practices from industry.  Professionals and aspiring professionals from a diverse range of industries and functions, including product managers and product owners, engineering team leaders, executives, analysts and others will find this program valuable.   
Applied Learning Project
Learners will implement three projects throughout the course of this Specialization:
1) In Course 1, you will complete a hands-on project where you will create a machine learning model to solve a simple problem (no coding necessary) and assess your model's performance.
2) In Course 2, you will identify and frame a problem of interest, design a machine learning system which can help solve it, and begin the development of a project plan.
3) In Course 3, you will perform a basic user experience design exercise for your ML-based solution and analyze the relevant ethical and privacy considerations of the project.
"
AI Strategy and Governance,University of Pennsylvania,Course,1 - 4 Weeks,4.9,69,Beginner,https://www.coursera.org/learn/wharton-ai-strategy-governance,"5,918",[],[],"In this course, you will discover AI and the strategies that are used in transforming business in order to gain a competitive advantage. You will explore the multitude of uses for AI in an enterprise setting and the tools that are available to lower the barriers to AI use. You will get a closer look at the purpose, function, and use-cases for explainable AI. This course will also provide you with the tools to build responsible AI governance algorithms as faculty dive into the large datasets that you can expect to see in an enterprise setting and how that affects the business on a greater scale. Finally, you will examine AI in the organizational structure, how AI is playing a crucial role in change management, and the risks with AI processes. By the end of this course, you will learn different strategies to recognize biases that exist within data, how to ensure that you maintain and build trust with user data and privacy, and what it takes to construct a responsible governance strategy. For additional reading, Professor Hosanagar's book ""A Human’s Guide to Machine Intelligence"" can be used as an additional resource for more extensive information on topics covered in this module.
"
AI and Climate Change,DeepLearning.AI,Course,1 - 4 Weeks,4.8,41,Beginner,https://www.coursera.org/learn/ai-and-climate-change,"3,472","['AI for Good project framework', 'Biodiversity Monitoring', 'Supervised Learning', 'Computer Vision', 'Wind Power Generation Modeling']",[],"In this course, you’ll start with a review of the mechanisms behind anthropogenic climate change and its impact on global temperatures and weather patterns. You will work through two case studies, one using time series analysis for wind power forecasting and another using computer vision for biodiversity monitoring. Both case studies are examples of where AI techniques can be part of the solution when it comes to the mitigation of and adaptation to climate change.
"
AI and Public Health,DeepLearning.AI,Course,1 - 4 Weeks,4.7,111,Beginner,https://www.coursera.org/learn/ai-and-public-health,"8,294","['Air Quality Monitoring', 'AI for Good project framework', 'Jupyter notebooks', 'Supervised Learning', 'Exploratory Data Analysis']",[],"In this course, you will be introduced to the basics of artificial intelligence and machine learning and how they are applied in real-world scenarios in the AI for Good space. You will also be introduced to a framework for problem solving where AI is part of the solution. The course concludes with a case study featuring three Jupyter notebook labs where you’ll create an air quality monitoring application for the city of Bogotá, Colombia.
"
AI for Good,DeepLearning.AI,Specialization,1 - 3 Months,4.8,148,Beginner,https://www.coursera.org/specializations/ai-for-good,"6,742","['Natural Language Processing', 'Topic Model', 'Air Quality Monitoring', 'AI for Good project framework', 'Biodiversity Monitoring', 'Time Series', 'Damage Assessment', 'Jupyter notebooks', 'Supervised Learning', 'Exploratory Data Analysis', 'Computer Vision', 'Wind Power Generation Modeling']","['Master a step-by-step framework for the development of AI projects.', 'Explore real-world case studies related to public health, climate change, and disaster management.', 'Analyze data and build AI models for projects focused on air quality, wind energy, biodiversity monitoring, and disaster management.']","The AI for Good Specialization showcases how AI can be part of the solution when it comes to addressing some of the world’s biggest challenges in areas like public health, climate change, and disaster management.
In these courses, you’ll learn from instructor Robert Monarch, who has over 20 years of experience building AI products in industry and working at the intersection of AI and public health and disaster management. Robert is also the author of Human-in-the-Loop Machine LearningOpens in a new tab, a book focused on human-centered AI applications. 
Throughout the courses, you'll hear from experts working on AI for Good initiatives aimed at addressing social and environmental issues. By combining human and machine intelligence, real-world datasets, best practices around data privacy, and ethical considerations, you’ll develop the knowledge and fundamental skills to tackle your own AI for good projects. 
These courses were built in partnership with researchers at the Microsoft AI for Good LabOpens in a new tab who offered their subject matter expertise throughout the development of the program. We are also grateful to Sasha LuccioniOpens in a new tab, Climate Lead and Researcher at HuggingFace for her help in forming the high-level program structure, outlining what kinds of topics and case studies would work best for these courses, and recruiting many of the experts that either appear in guest speaker videos or have contributed behind the scenes. 
Applied Learning Project
Use neural networks and other AI techniques to estimate air quality throughout the city of Bogotá, Colombia.
Develop an AI model to make wind power generation more predictable by providing forecasts 24 hours into the future.
Apply computer vision techniques to detect and classify animals for the purpose of biodiversity monitoring.
Build an image classification pipeline to perform damage assessment using satellite images taken after Hurricane Harvey in the U.S. in 2017.
Use natural language processing techniques to analyze trends in a corpus of text messages sent in the aftermath of the 2010 earthquake in Haiti.
"
AI for Medical Diagnosis,DeepLearning.AI,Course,1 - 4 Weeks,4.7,1.9k,Intermediate,https://www.coursera.org/learn/ai-for-medical-diagnosis,"65,794","['Deep Learning', 'Image Segmentation', 'Machine Learning', 'model evaluation', 'Multi-class classification']",[],"AI is transforming the practice of medicine. It’s helping doctors diagnose patients more accurately, make predictions about patients’ future health, and recommend better treatments. As an AI practitioner, you have the opportunity to join in this transformation of modern medicine. If you're already familiar with some of the math and coding behind AI algorithms, and are eager to develop your skills further to tackle challenges in the healthcare industry, then this specialization is for you. No prior medical expertise is required! 
This program will give you practical experience in applying cutting-edge machine learning techniques to concrete problems in modern medicine:

- In Course 1, you will create convolutional neural network image classification and segmentation models to make diagnoses of lung and brain disorders. 
- In Course 2, you will build risk models and survival estimators for heart disease using statistical methods and a random forest predictor to determine patient prognosis. 
- In Course 3, you will build a treatment effect predictor, apply model interpretation techniques and use natural language processing to extract information from radiology reports.

These courses go beyond the foundations of deep learning to give you insight into the nuances of applying AI to medical use cases. As a learner, you will be set up for success in this program if you are already comfortable with some of the math and coding behind AI algorithms. You don't need to be an AI expert, but a working knowledge of deep neural networks, particularly convolutional networks, and proficiency in Python programming at an intermediate level will be essential. If you are relatively new to machine learning or neural networks, we recommend that you first take the Deep Learning Specialization, offered by deeplearning.ai and taught by Andrew Ng.

The demand for AI practitioners with the skills and knowledge to tackle the biggest issues in modern medicine is growing exponentially. Join us in this specialization and begin your journey toward building the future of healthcare.
"
AI for Medicine,DeepLearning.AI,Specialization,1 - 3 Months,4.7,2.2k,Intermediate,https://www.coursera.org/specializations/ai-for-medicine,"41,525","['model interpretation', 'Image Segmentation', 'natural language extraction', 'Machine Learning', 'time-to-event modeling']","['Diagnose diseases from x-rays and 3D MRI brain images', 'Predict patient survival rates more accurately using tree-based models', 'Estimate treatment effects on patients using data from randomized trials', 'Automate the task of labeling medical datasets using natural language processing']","AI is transforming the practice of medicine. It’s helping doctors diagnose patients more accurately, make predictions about patients’ future health, and recommend better treatments. This three-course Specialization will give you practical experience in applying machine learning to concrete problems in medicine.
These courses go beyond the foundations of deep learning to teach you the nuances in applying AI to medical use cases.  If you are new to deep learning or want to get a deeper foundation of how neural networks work, we recommend taking the Deep Learning SpecializationOpens in a new tab.
Applied Learning Project
Medicine is one of the fastest-growing and important application areas, with unique challenges like handling missing data. You’ll start by learning the nuances of working with 2D and 3D medical image data. You’ll then apply tree-based models to improve patient survival estimates. You’ll also use data from randomized trials to recommend treatments more suited to individual patients. Finally, you’ll explore how natural language extraction can more efficiently label medical datasets.
"
AI in Healthcare,Stanford University,Specialization,3 - 6 Months,4.7,1.3k,Beginner,https://www.coursera.org/specializations/ai-healthcare,"25,026",[],"['Identify problems healthcare providers face that machine learning can solve', 'Analyze how AI affects patient care safety, quality, and research', 'Relate AI to the science, practice, and business of medicine', 'Apply the building blocks of AI to help you innovate and understand emerging technologies  ']","Artificial intelligence (AI) has transformed industries around the world, and has the potential to radically alter the field of healthcare. Imagine being able to analyze data on patient visits to the clinic, medications prescribed, lab tests, and procedures performed, as well as data outside the health system -- such as social media, purchases made using credit cards, census records, Internet search activity logs that contain valuable health information, and you’ll get a sense of how AI could transform patient care and diagnoses.
In this specialization, we'll discuss the current and future applications of AI in healthcare with the goal of learning to bring AI technologies into the clinic safely and ethically.  
This specialization is designed for both healthcare providers and computer science professionals, offering insights to facilitate collaboration between the disciplines.
CME Accreditation
The Stanford University School of Medicine is accredited by the Accreditation Council for Continuing Medical Education (ACCME) to provide continuing medical education for physicians.  View the full CME accreditation information on the individual course FAQ page.
Applied Learning Project
The final course will consist of a capstone project that will take you on a guided tour exploring all the concepts we have covered in the different classes. This will be a hands-on experience following a patient's journey from the lens of the data, using a unique dataset created for this specialization.We will review how the different choices you make -- such as those around feature construction, the data types to use, how the model evaluation is set up and how you handle the patient timeline -- affect the care that would be recommended by the model.
"
"AI, Business & the Future of Work",Lund University,Course,1 - 4 Weeks,4.7,254,Beginner,https://www.coursera.org/learn/ai-business-future-of-work,"24,037",[],"['How AI can give you better information upon which to make better decisions.', 'How AI can help you automate processes and become more efficient.', 'How AI will impact your industry so that you can avoid the pitfalls and seize the benefits.']","This course from Lunds university will help you understand and use AI so that you can transform your organisation to be more efficient, more sustainable and thus innovative. 
The lives of people all over the world are increasingly enhanced and shaped by artificial intelligence. To organisations there are tremendous opportunities, but also risks, so where do you start to plan for AI, business and the future of work?

Whether you are in the public or private sector, in a large organisation or a small shop, AI has a growing impact on your business. Most organisations don’t have a strategy in place for how to make AI work for them. 

The teacher, Anamaria Dutceac Segesten, will guide you through the topics with short lectures, interviews and interactive exercises meant to get you thinking about your own context.

12 industry professionals, AI experts and thought leaders from different industries have been interviewed and will complement the short lectures to give you a broad overview of perspectives on the topics. You will meet:

Kerstin Enflo
Professor in Economic History
Lund University

Dr. Irene Ek	
Founder	
Digital Institute

Samuel Engblom
Policy Director
The Swedish Confederation of Professional Employees

Pelle Kimvall
Lead Solution Ideator
AFRY X

Joakim Wernberg	
Research Director, Digitalisation and Tech Policy
Swedish Entrepreneurship Forum

Marcus Henriksson
Empathic Leader of AI & Automation and Digital Business Development	
Empathic

Johan Grundström Eriksson	
Board Advisor, Innovation Management & Corporate Governance	
Founder & Chairman, aiRikr Innovation AB

Jakob Svensson
Professor in Media and Communication Studies
Malmö University

Ulrik Franke
Senior Researcher
RISE Research Institutes of Sweden

Björn Lorentzon
Nordic Growth Lead
Sympa

Anna Felländer
Founder 
AI Sustainability Center

Prof. Fredrik Heintz	
Associate Professor of Computer Science
Linköping University
"
